,pearsons,spearmans,dataset
0,0.15068513388768665,0.009659616038147257,Train
1,0.17449018778030148,0.12475784717971897,Train
2,0.029495901897574815,-0.10385071268313148,Train
3,0.5918452481059621,0.6674473115764036,Train
4,0.7318838625520409,0.7153820615806314,Train
5,0.6509991871900922,0.7115569606661529,Train
6,0.4207281892595929,0.2515072669528099,Train
7,0.7794717046828733,0.713075420385246,Train
8,0.47830805715599756,0.5128132164916976,Train
9,0.5043599158718396,0.24409728487562443,Train
10,0.6845937892989136,0.5789286508732848,Train
11,0.1849244293269544,0.2498365045911382,Train
12,0.6992563669211204,0.5842208361806962,Train
13,-0.10314329131423292,-0.27304078856723607,Train
14,0.5185172697054331,0.5875435387018441,Train
15,0.5710561656594131,0.4554289936510554,Train
16,0.3580409567457614,0.4267787902244225,Train
17,0.3785187026495065,0.37583628106921746,Train
18,0.2488291427319365,0.04315600850460935,Train
19,0.46372019959694166,0.507976301445158,Train
20,0.3882037378382844,0.4333895376106913,Train
21,0.2549496590398153,0.010378354353344898,Train
22,0.5699625896637273,0.39317773259243416,Train
23,-0.00844315398107591,0.24611444286727915,Train
24,0.07475678391484686,0.1096399251330563,Train
25,0.3642232189916177,0.08430888763792017,Train
26,0.6562310456876876,0.6879613224460617,Train
27,0.41685702767721583,0.4838726658271341,Train
28,0.21513338160163056,0.03430024924838041,Train
29,-0.11799274919720618,-0.11416080241537753,Train
30,0.5097065354903091,0.5749802076991876,Train
31,0.06935929600514924,0.0473856778752211,Train
32,0.2770116652216661,0.2591819654559013,Train
33,0.17025205033217472,0.17938268815584033,Train
34,0.33215674114855775,0.44857617791829596,Train
35,-0.3036996184949889,-0.37683785857697144,Train
36,0.09588505158384461,-0.07555913196579563,Train
37,-0.08440394964460994,-0.008732953816867436,Train
38,0.2993247029710657,0.3448375900709719,Train
39,0.5584547280484398,0.2863837801572815,Train
40,0.5732599524937732,0.4891648571795431,Train
41,0.2589957827125603,0.21567460656433912,Train
42,0.4587426310248564,0.5964397923144308,Train
43,0.3672258188394125,0.35032618275824495,Train
44,0.13253304240517877,0.3057116623841026,Train
45,0.1102535832267672,0.1872883272195163,Train
46,0.21121753427608875,0.2741671901072314,Train
47,0.4176117957319555,0.47140997378723215,Train
48,0.38437805313449774,0.2964608457367482,Train
49,0.44590715903961065,0.4944492940995801,Train
50,0.15428136211559823,0.06251696881228985,Train
51,0.6531237484998853,0.655128706068214,Train
52,-0.09368448173210411,-0.08481235562444367,Train
53,0.40587633634905906,0.29080420240547467,Train
54,0.7554584644787976,0.6648252932083266,Train
55,0.5678128078016671,0.42603106449864514,Train
56,0.13865745784358702,0.09456749888562861,Train
57,0.6722976338800941,0.6969369595060518,Train
58,0.5770908460196007,0.5871889784156186,Train
59,0.1525721905332355,-0.016754809582012406,Train
60,0.3185288680194688,0.3140875517063211,Train
61,0.20429938361989347,0.14733085932981294,Train
62,0.07254530409835835,0.07527892351295815,Train
63,0.6957501312390193,0.7471152335464625,Train
64,0.5463765888222766,0.4895702368431903,Train
65,-0.27253777015221015,-0.24888668613272455,Train
66,-0.1896198764639319,-0.054124350484828256,Train
67,0.44957758860255576,0.4579826860713573,Train
68,0.6848311950569326,0.6238845826382582,Train
69,0.2577779022653267,0.3449181328391116,Train
70,-0.05910446466611262,-0.07714258535729947,Train
71,0.6320384370538846,0.5766476722230071,Train
72,0.35682456345224284,0.45737306383457343,Train
73,0.5396794065980861,0.32718372761942077,Train
74,0.48389774030082283,0.29942182598750433,Train
75,-0.28156664938507064,-0.2615949143998764,Train
76,0.6509402735146135,0.6238536782012385,Train
77,0.7145988283151568,0.6772450039991319,Train
78,0.5640573578344089,0.5656894398603964,Train
79,0.5395087615482428,0.5339586644594301,Train
80,0.7184493836604747,0.6482059575023769,Train
81,0.4903584770839121,0.4829857664339945,Train
82,0.6373586850861952,0.5019135312107822,Train
83,-0.029894872377184876,-0.0604752614732856,Train
84,0.559063711971179,0.4812290478337193,Train
85,0.7457710991725481,0.6420869011472822,Train
86,0.6187560990817076,0.5979839774475051,Train
87,0.12648003675761588,-0.005735822417290194,Train
88,0.2571540030446143,0.29225089013019606,Train
89,0.6849748253763475,0.6452095594214969,Train
90,0.6582203464757022,0.6786173782621101,Train
91,0.7667006771040125,0.8350267068498232,Train
92,0.6813177622952504,0.6343764232830946,Train
93,0.3059998123526974,0.38679226441192704,Train
94,0.3424642319201614,0.19328960745369422,Train
95,0.29064234546390877,0.3888088458796239,Train
96,0.580775305156786,0.6223236117389666,Train
97,-0.05677084404635371,-0.08664668598811054,Train
98,0.6030942794317248,0.4653462420359944,Train
99,0.27173280775471065,0.3691884007761255,Train
100,0.7325466996985519,0.6191938295075573,Train
101,0.5596083350592013,0.4689159652004639,Train
102,0.5432204469677235,0.5538074231147637,Train
103,0.6037530677933154,0.550892950092112,Train
104,0.034499842740832176,-0.13871943005108625,Train
105,0.43074204245441694,0.051035786539461066,Train
106,0.7561169355078989,0.7378800502720959,Train
107,0.33917922996638844,0.20485783111591624,Train
108,0.6846227901369117,0.5661433767246543,Train
109,0.546848421411064,0.21021009101708413,Train
110,0.45929559737586134,0.4835880564140369,Train
111,0.7784536659018966,0.7698748520020766,Train
112,-0.30261801377663566,-0.2227418035713247,Train
113,0.11832236313007524,-0.06044206124656304,Train
114,0.5355748255493802,0.3136228025684882,Train
115,0.43137986541873446,0.12125625443383697,Train
116,0.29646189251566885,0.2748893452021907,Train
117,0.20311422304411286,0.26302741269733737,Train
118,0.020867663117127046,0.06189422419336045,Train
119,0.7527237084769425,0.7227895624482595,Train
120,0.638819827823794,0.6783945243577552,Train
121,0.02978293240735366,-0.1715672043495141,Train
122,0.1463123692004124,0.14539178839926623,Train
123,0.46624506678141053,0.5571526547583616,Train
124,0.34301593166739475,0.1499483291499885,Train
