,pearsons,spearmans,MSE,dataset
0,0.09416063164741381,0.059450714922898704,3.7376565428346633,Train
1,0.1744404936539053,0.12475788664603228,0.4680274581030137,Train
2,0.06297596974286122,-0.01340055075388863,0.030312340202723352,Train
3,0.6355094880172409,0.6498040132063394,0.10916787920085297,Train
4,0.5491051807836349,0.533366651938319,0.18419032203121985,Train
5,0.5712142888502572,0.619329779286644,0.10739770634770412,Train
6,0.18669628418704629,0.10699365895317024,0.2971126711790401,Train
7,0.7170071730093033,0.6805410375468416,0.1268567316723338,Train
8,0.6271555477947409,0.6570799141477555,0.08978548303070995,Train
9,0.5886087473618818,0.5175531991087685,0.12585996093842777,Train
10,0.5568973120251807,0.48718852408673974,0.25181153851683463,Train
11,0.35242881885644584,0.107701840087978,0.035091775102677344,Train
12,0.7194280930742363,0.7266116127287208,0.12090591536582851,Train
13,-0.13854761663710707,-0.2715945738887682,0.15116237226482357,Train
14,0.6534286069486982,0.6793421678606533,0.16526900585419965,Train
15,0.7108510509606532,0.7122032093208764,0.10573162657095538,Train
16,-0.36194165038155074,-0.4275188539938192,0.541346298242336,Train
17,0.187371170200611,0.22720788463742994,0.209305413412642,Train
18,0.29468031018039487,0.26977195270861076,1.3379399432072847,Train
19,0.6248968911048409,0.6621550842893575,0.12016537732659628,Train
20,0.2918474852002997,0.35651295840084085,0.14340481947851547,Train
21,0.17848633052209628,0.07426467693961107,0.5472870934727099,Train
22,0.5734573129141094,0.49993616903508814,0.22630240836299734,Train
23,-0.029801009233533692,0.2402688367938107,0.44273888834882164,Train
24,-0.09523145672473975,0.018777703563554012,0.11891849499501274,Train
25,-0.46551489168569615,-0.34826567901903965,0.04995732500119506,Train
26,0.623154964982555,0.6212269447359554,0.16443978600800577,Train
27,0.5250133567594647,0.5603249158265518,0.14228056442105125,Train
28,0.06477761186989496,-0.1982723613910094,0.06134551547504965,Train
29,-0.20812827301262485,-0.23084733808730848,0.6964418832841043,Train
30,0.5867445145423235,0.6756748837866486,0.12041671152492106,Train
31,0.3948049344367327,0.37112322220789123,0.3027068723637762,Train
32,-0.0007205231343251411,0.09018163881537589,0.27819849285735726,Train
33,0.38608271791121085,0.3618272967268382,0.275406201301986,Train
34,0.5163177025446097,0.5984931217909791,0.15426294010713026,Train
35,0.4964204378254591,0.5059703763916199,0.6077050341210359,Train
36,0.7054621903770799,0.7240191439363308,0.315568679761241,Train
37,0.08440407866407248,0.008733398477199875,0.11556315517131695,Train
38,0.554120962983442,0.5555312701512551,0.1917531654372114,Train
39,0.4878355131602464,0.3830661073368769,0.2848131347304483,Train
40,0.7391023992201199,0.7436215063282234,0.09580738576521923,Train
41,0.2507295284767313,0.36909184396014216,0.08257420434195958,Train
42,0.5880769411819545,0.6221588151555154,0.1956673703289205,Train
43,-0.12742270917302662,-0.20439850714749924,0.24011796671310895,Train
44,0.6062382203666001,0.584551823575756,0.4587830769173331,Train
45,0.061061955173329935,0.06277153285953094,0.45216111350462135,Train
46,0.3574314572086926,0.328546585828902,0.8593432470810786,Train
47,0.1247618342022998,0.2612080119058305,0.40065612496599257,Train
48,0.383987013105874,0.36326688368497,0.39108216514299726,Train
49,0.3578479345148917,0.4190279801022105,0.07475265314678857,Train
50,-0.04070622956196687,-0.036787701605296576,0.42838278681192704,Train
51,0.5242348500558052,0.5350682070823148,0.1932285232494767,Train
52,0.17409449900339674,0.12196551591852403,0.14607562324779905,Train
53,0.7249195831722517,0.725804983371014,0.1816093369490173,Train
54,0.7176495758484271,0.7120669781440689,0.07123592125454471,Train
55,0.754880443181318,0.6808325162926244,0.13737224618424074,Train
56,0.15805010735818018,0.11279448280734178,0.40785132755743564,Train
57,0.6169426415113048,0.672464600903974,0.15797802862442803,Train
58,0.4815696234357202,0.48636642849897255,0.29314235945317124,Train
59,0.697473149213075,0.7314065835852078,0.2954247091367987,Train
60,0.03287767781655693,0.04099639394286713,0.20103197822324215,Train
61,0.27844701296234087,0.25366683438366594,0.19565255194282447,Train
62,0.01703581518200203,0.15158740338556675,0.05663695963089861,Train
63,0.6594815001901768,0.6212540367869337,0.3032165207518085,Train
64,0.06375535581377965,0.06261996046933913,0.5756009673022522,Train
65,-0.11150082863467314,-0.015549720318865763,0.12502916081176882,Train
66,0.7113558206564923,0.6864389382570673,0.1960396940896076,Train
67,0.5890049803524158,0.6231640422586514,0.1529010130732138,Train
68,0.7186546477072688,0.7017194994344843,0.14245360443088922,Train
69,-0.2337025576725341,0.01613895513784113,0.14870478805327642,Train
70,0.2547892061167276,0.3743117944639381,0.23639536848476952,Train
71,0.34894265238467004,0.28478635138833264,0.18760138446466587,Train
72,0.18676256426619864,0.22449751194144557,0.14266136158134118,Train
73,0.5031928052813196,0.32177560663544036,0.26681746430467235,Train
74,0.5224200139226745,0.4338334494925888,0.17185704152973125,Train
75,0.20945705414634821,0.35648344194995246,1.036050883050256,Train
76,0.5151455208226212,0.49403369831832455,0.19533777813925793,Train
77,0.765166933780768,0.7275170425251537,0.06782261522600978,Train
78,0.48927546799509525,0.49589680476520137,0.17593251870292514,Train
79,0.4180750845431841,0.4675657716098364,0.11231306144648685,Train
80,0.3915308019442148,0.3588000450003526,0.25145030742449404,Train
81,0.5499759243185078,0.5799612508293256,0.1970910474972548,Train
82,0.6517464958542183,0.5895854522804861,0.07903518751120268,Train
83,0.019905195807879306,-0.07141966486394984,0.2641483307356806,Train
84,0.6714943215843725,0.6437903087306664,0.14766230338225655,Train
85,0.7577705728502213,0.7283079241849886,0.10585168430113656,Train
86,0.6191080440884675,0.6069950135838754,0.08682589115332878,Train
87,0.1307418040477946,0.11997160195811418,0.24676591714354285,Train
88,0.15450292331562604,0.2557384581917048,0.1676557212580094,Train
89,0.6528885706243173,0.622732287931923,0.12149531968192027,Train
90,0.6923554151088107,0.7096968437468786,0.1429080124056768,Train
91,0.6700751289681748,0.7151757094405554,0.0846242917925579,Train
92,0.4974589473292904,0.39167330569513253,0.20764963468033895,Train
93,0.14209757916102916,0.13832776731435403,0.11749637795400271,Train
94,0.18380420184443758,0.10803329013540881,0.49117067171896434,Train
95,0.6022254507818691,0.5522299339618313,0.09894246151440689,Train
96,0.5666329750828865,0.6112391638120964,0.18030838498394242,Train
97,-0.07747014005865442,-0.18120461278564579,0.3644126269136395,Train
